name,city,review_count,hours,neighborhood,categories,latitude,stars,attributes,longitude,address,postal_code,state,is_open,business_id,type
McDonald's,Mississauga,7,,East Credit,"['Restaurants', 'Burgers', 'Fast Food']",43.6123835411,2.5,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'DriveThru: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: very_loud', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free']",-79.6947049033,5995 Mavis Road,L5R 3T7,ON,1,NvSJGiGwNBwjYi3m0hP38g,business
Swiss Chalet,Scarborough,12,"['Monday 11:30-22:0', 'Tuesday 11:30-22:0', 'Wednesday 11:30-22:0', 'Thursday 11:30-22:0', 'Friday 11:30-22:0', 'Saturday 11:30-22:0', 'Sunday 11:0-21:30']",Scarborough,"['Restaurants', 'Canadian (New)', 'Sandwiches', 'Food', 'Desserts']",43.7756724,3.0,"['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: no']",-79.2581928,"300 Borough Drive, Unit 1002",M1P 4P5,ON,1,hf18cVfzyJrsymisfi5mYA,business
Toucan Tacos,Toronto,14,,Riverdale,"['Restaurants', 'Mexican']",43.6587449,2.5,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True']",-79.3507401,686 Queen Street E,M4M 1G6,ON,0,4ZNr_HOSCXMCzY4xN4WACA,business
Cabin Fever,Toronto,25,"['Monday 16:0-2:0', 'Tuesday 18:0-2:0', 'Wednesday 18:0-2:0', 'Thursday 18:0-2:0', 'Friday 18:0-2:0', 'Saturday 16:0-2:0', 'Sunday 16:0-2:0']",High Park,"['Food', 'Cafes', 'Restaurants', 'Arts & Entertainment', 'Coffee & Tea', 'Shopping', 'Arcades', 'Vinyl Records', 'Art Galleries', 'Pubs', 'Nightlife', 'Bars', 'Books', 'Mags', 'Music & Video']",43.6553501508,4.5,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'CoatCheck: False', 'DogsAllowed: False', 'GoodForDancing: False', 'GoodForKids: False', 'HappyHour: False', 'HasTV: False', ""Music: {'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'Smoking: no', 'WheelchairAccessible: False', 'WiFi: no']",-79.4567192927,1669 Bloor Street W,M6P 1A6,ON,1,-n27mJ_jQWGCuIukTvg9Mg,business
Shogun Japanese Steak House,Monroeville,25,"['Monday 11:0-14:30', 'Monday 17:0-21:0', 'Tuesday 11:0-14:30', 'Tuesday 17:0-21:0', 'Wednesday 11:0-14:30', 'Thursday 11:0-14:30', 'Thursday 17:0-21:0', 'Friday 11:0-14:30', 'Friday 17:0-22:0', 'Saturday 11:0-14:30', 'Saturday 15:0-22:0', 'Sunday 12:0-21:0']",,"['Restaurants', 'Japanese']",40.432545,3.0,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 3', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",-79.783247,8 Tech Center Dr,15146,PA,1,aaPncz0ICB85up3HUl2TEg,business
Mavis Winkle's Irish Pub,Twinsburg,44,"['Monday 11:30-21:0', 'Tuesday 11:30-21:0', 'Wednesday 11:30-21:0', 'Thursday 11:30-21:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0']",,"['Pubs', 'Bars', 'Restaurants', 'Nightlife', 'Irish']",41.3073038,3.0,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""BestNights: {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'CoatCheck: False', 'GoodForDancing: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour: True', 'HasTV: True', ""Music: {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}"", 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'Smoking: no', 'WheelchairAccessible: True', 'WiFi: free']",-81.4419172,8870 Darrow Rd,44087,OH,1,kfbBBxJg-oatbY-YHf7qpw,business
Inatei Japanese Cuisine,Richmond Hill,113,"['Monday 11:30-14:30', 'Monday 17:30-22:30', 'Wednesday 11:30-14:30', 'Wednesday 17:30-22:30', 'Thursday 11:30-14:30', 'Thursday 17:30-22:30', 'Friday 11:30-14:30', 'Friday 17:30-22:30', 'Saturday 11:30-14:30', 'Saturday 17:30-22:30', 'Sunday 11:30-14:30', 'Sunday 17:30-22:30']",,"['Seafood', 'Japanese', 'Sushi Bars', 'Restaurants']",43.849522969,4.0,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no']",-79.381646709,9021 Leslie Street,L4B 0B2,ON,1,LPCFfrQow0kl7EABuM7VDA,business
I Went To Philly,Toronto,49,"['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-4:0', 'Friday 11:0-4:0', 'Saturday 11:0-4:0']",Downtown Core,"['American (New)', 'Restaurants', 'Diners']",43.6618632,4.0,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",-79.3833046,462 Yonge Street,M4Y 1S9,ON,0,TRxDx0JhUX49iL-QUHEm0A,business
Island Pacific Seafood Market,Las Vegas,48,"['Monday 7:0-22:0', 'Tuesday 7:0-22:0', 'Wednesday 7:0-22:0', 'Thursday 7:0-22:0', 'Friday 7:0-22:0', 'Saturday 7:0-22:0', 'Sunday 7:0-22:0']",Spring Valley,"['Ethnic Grocery', 'Specialty Food', 'Food', 'International Grocery', 'Ethnic Food', 'Imported Food', 'Filipino', 'Restaurants', 'Grocery', 'Seafood']",36.1010606055,3.5,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: no', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""]",-115.280462827,8650 W Tropicana Ave,89147,NV,1,ICWQfTi_Dvo723ZJicR8Vw,business
Imsiam Thai Restaurant and Noodle,Las Vegas,21,"['Monday 10:0-2:0', 'Tuesday 10:0-2:0', 'Wednesday 10:0-2:0', 'Thursday 10:0-2:0', 'Friday 10:0-2:0', 'Saturday 10:0-2:0', 'Sunday 10:0-2:0']",Westside,"['Thai', 'Restaurants', 'Noodles']",36.1440225,4.5,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'HasTV: False', 'RestaurantsReservations: True', 'Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': False}""]",-115.195896,4105 W Sahara Ave,89102,NV,1,q4i-GbjeSp6ucBDXGE9DqA,business
Kaleidoscope Juice,Phoenix,51,"['Monday 7:0-16:0', 'Tuesday 7:0-16:0', 'Wednesday 7:0-16:0', 'Thursday 7:0-16:0', 'Friday 7:0-16:0', 'Saturday 8:0-16:0']",,"['Salad', 'Sandwiches', 'Juice Bars & Smoothies', 'Restaurants', 'Food', 'Coffee & Tea', 'Vegan', 'Specialty Food', 'Health Markets']",33.4484361,4.5,"[""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free', 'Alcohol: full_bar', 'RestaurantsTableService: False', 'Caters: True', 'DogsAllowed: True']",-112.0723352,1 N 1st St,85004,AZ,1,91FlIjn-FabJYjJ819gwbQ,business
Sky Blue Sky Sandwiches,Toronto,81,"['Monday 11:0-21:0', 'Tuesday 11:0-21:0', 'Wednesday 11:0-21:0', 'Thursday 11:0-21:0', 'Friday 11:0-21:0', 'Saturday 11:0-20:0']",Koreatown,"['Restaurants', 'Sandwiches']",43.664569,4.0,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: no']",-79.4131014,605 Bloor Street W,M6G 1K5,ON,1,rATlMkHZdcwqQ12aIWg10w,business
El Mejor,Toronto,6,,Upper Beach,"['Mexican', 'Restaurants']",43.6808808,3.5,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free']",-79.2845966,1036 Kingston Road,M4E 1T5,ON,0,p29R4kMODw155BAEZNtD7A,business
The Shmooz,Toronto,12,"['Monday 8:0-20:30', 'Tuesday 8:0-20:30', 'Wednesday 8:0-20:30', 'Thursday 8:0-20:30', 'Friday 8:0-20:30', 'Saturday 9:0-20:30', 'Sunday 9:0-19:0']",Riverdale,"['Cafes', 'Food', 'Tea Rooms', 'Restaurants', 'Coffee & Tea']",43.6751912,4.5,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'Caters: False', 'DogsAllowed: False', 'GoodForKids: True', 'HasTV: False', 'NoiseLevel: loud', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: free', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'RestaurantsGoodForGroups: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""]",-79.3434759,590 Pape Avenue,M4K 3R8,ON,1,UqcCjCbN2SIiAGm9YyaNwg,business
O Fuzion,Montréal,5,"['Monday 15:0-20:0', 'Tuesday 15:0-20:0', 'Wednesday 12:0-20:0', 'Thursday 12:0-21:0', 'Friday 12:0-21:0', 'Saturday 14:30-21:0', 'Sunday 14:30-20:0']",Rosemont-La Petite-Patrie,"['Restaurants', 'Asian Fusion', 'Chinese', 'Thai']",45.550040767,3.0,['RestaurantsDelivery: True'],-73.5829375684,2862 Boulevard Rosemont,H1Y 1L7,QC,1,ZcMRFFuvFt5gH2hdnpyigg,business
Red Hot & Blue,West Homestead,5,,Homestead,"['Barbeque', 'Restaurants']",40.4071242,2.0,"['BusinessAcceptsCreditCards: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTableService: False']",-79.9164495,299 W Bridge St,15120,PA,0,XT16NlJ97M6pFKtN_SOQKQ,business
The Panini People,Phoenix,8,,,"['Food', 'Food Trucks', 'Restaurants', 'Sandwiches']",33.2761422,4.5,"['Alcohol: none', 'BikeParking: False', 'BusinessAcceptsCreditCards: True', 'Caters: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",-112.28609,,85339,AZ,1,QPmeZrxpWkKBV_p8RW_lnA,business
BluBurger Grille,Scottsdale,6,,,"['Burgers', 'Restaurants']",33.7268828,4.5,"['Alcohol: full_bar', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",-111.8543179,"The Villages at Pinnacle Peak, 10428 E Jomax Rd, Ste 101",85262,AZ,0,AVokLFkV8Y_QmpQhgdIRTg,business
Sushi Xtra,Toronto,54,"['Monday 12:0-23:0', 'Tuesday 12:0-23:0', 'Wednesday 12:0-23:0', 'Thursday 12:0-23:0', 'Friday 12:0-0:0', 'Saturday 12:0-0:0', 'Sunday 12:0-23:0']",Entertainment District,"['Restaurants', 'Sushi Bars']",43.6487356,3.0,"['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no']",-79.3952314,423 Queen Street West,M5V 2A5,ON,0,LuBj6jfwKsbpKy441wkRlQ,business
Café Maurizio,Montréal,22,"['Monday 9:30-23:0', 'Tuesday 9:30-23:0', 'Wednesday 9:30-23:0', 'Thursday 9:30-1:0', 'Friday 9:30-1:0', 'Saturday 9:30-1:0', 'Sunday 9:30-23:0']",Plateau-Mont-Royal,"['Restaurants', 'Italian']",45.5133458,3.0,"['Alcohol: full_bar', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: no']",-73.5710262,3509 Boulevard Saint-Laurent,H2X 2T6,QC,1,dj4UB_e5xYF3IMQucIIYsQ,business
Subway,Las Vegas,15,,Southwest,"['Sandwiches', 'Restaurants', 'Fast Food']",36.0554554752,3.0,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DriveThru: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True', 'WiFi: no']",-115.241407124,"7320 S Rainbow Blvd, Ste 105",89139,NV,1,sM43AJF72Lv7RVsy3jEuIg,business
Buccis,Middleburg Heights,10,,,"['Steakhouses', 'Restaurants', 'Italian']",41.3700873,3.0,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",-81.8255857,7230 Engle Rd,44130,OH,0,f79mtjCKvrBtd5aEtaMTYQ,business
Matthews' Hibachi Grill,Matthews,4,,Arboretum,"['Restaurants', 'Chinese']",35.1231419,3.0,"['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True']",-80.7299119,11100-A Monroe Rd,28105,NC,0,CCwBfrC0Y3EJVe6byA1LrQ,business
Sushi Garden,Toronto,15,"['Monday 10:0-22:0', 'Tuesday 10:0-22:0', 'Wednesday 10:0-22:0', 'Thursday 10:0-22:0', 'Friday 10:0-22:0', 'Saturday 10:0-22:0', 'Sunday 10:0-22:0']",Downtown Core,"['Restaurants', 'Sushi Bars']",43.6647862459,3.0,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: no']",-79.3848576496,3 Wellesley Street W,M4Y 1E8,ON,1,JuSSgBQMhjJek4GUDzD8IQ,business
